,proportion,type,ROI,net,layer,sum
210,0.5307401532572351,perceptual,EVC,dcrandom,ReLu7,0.382281575166933
211,0.002339330833751599,semantic,EVC,dcrandom,ReLu7,0.0016849734667233696
212,-0.11192254551389408,perceptual,EVC,dcrandom,ReLu7,-0.07067300437384685
213,0.001998093067747716,semantic,EVC,dcrandom,ReLu7,0.0012616871736423957
214,2.169541287996932,perceptual,EVC,dcrandom,ReLu7,0.13842353923714815
215,-0.004657704821368059,semantic,EVC,dcrandom,ReLu7,-0.00029717617713141556
216,0.397201208041649,perceptual,EVC,dcrandom,ReLu7,0.19439991779637733
217,-0.0011011727376810635,semantic,EVC,dcrandom,ReLu7,-0.0005389406813243231
218,0.081229242571785,perceptual,EVC,dcrandom,ReLu7,0.03804825347831691
219,0.0006992394128663697,semantic,EVC,dcrandom,ReLu7,0.0003275278407189079
220,0.3075001342831898,perceptual,EVC,dcrandom,ReLu7,0.11451880294975891
221,0.005130286295957667,semantic,EVC,dcrandom,ReLu7,0.0019106145978510633
222,0.4996252385493445,perceptual,EVC,dcrandom,ReLu7,0.5968407203888502
223,-4.3076587604711625e-05,semantic,EVC,dcrandom,ReLu7,-5.145829232433845e-05
224,0.3216944071366772,perceptual,EVC,dcrandom,ReLu7,0.21167231994906513
225,7.389553444000077e-05,semantic,EVC,dcrandom,ReLu7,4.862266443490077e-05
226,0.45479368791182534,perceptual,EVC,dcrandom,ReLu7,0.5340559644761118
227,0.0006772266909091942,semantic,EVC,dcrandom,ReLu7,0.0007952549984655827
228,0.5294530620661656,perceptual,EVC,dcrandom,ReLu7,0.5726423156659473
229,-0.0007285596541593587,semantic,EVC,dcrandom,ReLu7,-0.0007879906970987712
230,0.28910258434511954,perceptual,EVC,dcrandom,ReLu7,0.3453342032127821
231,-0.001238884825882278,semantic,EVC,dcrandom,ReLu7,-0.0014798529220608298
232,0.7916568732496022,perceptual,EVC,dcrandom,ReLu7,0.20858359598231568
