,proportion,feature,ROI,net,layer,indirect,total,bootstrap_iter
37,0.07731010472276784,semantic_animacy,IT,dcrandom,ReLu2,0.2770941348849359,3.584190396308332,4
38,0.045369682247948205,size,IT,dcrandom,ReLu2,0.16261357939665658,3.584190396308332,4
39,0.003187560319724232,contrast,IT,dcrandom,ReLu2,0.011424823085609109,3.584190396308332,4
40,-0.014685623787428801,hue,IT,dcrandom,ReLu2,-0.0526360717426995,3.584190396308332,4
41,0.015248988531156145,lurid,IT,dcrandom,ReLu2,0.05465527824678575,3.584190396308332,4
42,0.02508060828522434,thinness,IT,dcrandom,ReLu2,0.08989367534947226,3.584190396308332,4
43,0.0728648357021972,radiansoffhorizontal,IT,dcrandom,ReLu2,0.2611614443523997,3.584190396308332,4
44,0.1817825167705347,silhouette,IT,dcrandom,ReLu2,0.6515431508257088,3.584190396308332,4
45,-1.5726050490645246e-05,semantic_category,IT,dcrandom,ReLu2,-4.3784789726916e-05,2.784220345277519,5
46,0.08427163331427229,semantic_animacy,IT,dcrandom,ReLu2,0.23463079600336365,2.784220345277519,5
47,0.05342730047702118,size,IT,dcrandom,ReLu2,0.14875337698137767,2.784220345277519,5
48,-0.0016633097554489384,contrast,IT,dcrandom,ReLu2,-0.004631020861619509,2.784220345277519,5
49,-0.012943760083549326,hue,IT,dcrandom,ReLu2,-0.03603828016900907,2.784220345277519,5
50,0.02877825470612587,lurid,IT,dcrandom,ReLu2,0.08012500225437415,2.784220345277519,5
51,0.08321219926570883,thinness,IT,dcrandom,ReLu2,0.23168109817087354,2.784220345277519,5
52,0.06797995705127965,radiansoffhorizontal,IT,dcrandom,ReLu2,0.18927117949326475,2.784220345277519,5
53,0.18050705027202762,silhouette,IT,dcrandom,ReLu2,0.5025714018334112,2.784220345277519,5
54,-1.3050775055851806e-05,semantic_category,IT,dcrandom,ReLu2,-5.759695875391346e-05,4.41329794647619,6
55,0.06874439961028919,semantic_animacy,IT,dcrandom,ReLu2,0.30338951763182787,4.41329794647619,6
56,0.023400428272896,size,IT,dcrandom,ReLu2,0.10327306204343528,4.41329794647619,6
57,0.0014312047331008235,contrast,IT,dcrandom,ReLu2,0.006316332909580867,4.41329794647619,6
58,-0.011610834072961809,hue,IT,dcrandom,ReLu2,-0.051242070171078125,4.41329794647619,6
59,0.012993277644364358,lurid,IT,dcrandom,ReLu2,0.057343205545868206,4.41329794647619,6
60,0.10701498522737736,thinness,IT,dcrandom,ReLu2,0.4722890145461643,4.41329794647619,6
