,proportion,type,ROI,net,layer,sum,bootstrap_iter
54,0.26799177675508545,perceptual,IT,dcrandom,ReLu2,0.940623061321852,27
55,0.061405638868662016,semantic,IT,dcrandom,ReLu2,0.21552735951241803,27
56,0.2985382647221047,perceptual,IT,dcrandom,ReLu2,0.9146114889429633,28
57,0.06621073594117355,semantic,IT,dcrandom,ReLu2,0.20284535330683953,28
58,0.2695729655989688,perceptual,IT,dcrandom,ReLu2,0.935549642774327,29
59,0.06699887193583734,semantic,IT,dcrandom,ReLu2,0.23251875634703953,29
60,0.19562984524277247,perceptual,IT,dcrandom,ReLu2,0.5132825023387921,30
61,0.07735592826417245,semantic,IT,dcrandom,ReLu2,0.2029621011093728,30
62,0.19943619603182777,perceptual,IT,dcrandom,ReLu2,0.7896639108176906,31
63,0.05852714001973192,semantic,IT,dcrandom,ReLu2,0.23173712293219031,31
64,0.27660033792268457,perceptual,IT,dcrandom,ReLu2,0.9709696089892134,32
65,0.07396861463569515,semantic,IT,dcrandom,ReLu2,0.2596572273544013,32
66,0.271589485367368,perceptual,IT,dcrandom,ReLu2,0.7985858763697515,33
67,0.06835452604862943,semantic,IT,dcrandom,ReLu2,0.20099069378384146,33
68,0.1644961263396453,perceptual,IT,dcrandom,ReLu2,0.5634250911957052,34
69,0.05292610411900464,semantic,IT,dcrandom,ReLu2,0.1812802264918543,34
70,0.18869761653040532,perceptual,IT,dcrandom,ReLu2,0.5814228019364309,35
71,0.06778154099389555,semantic,IT,dcrandom,ReLu2,0.20885125211896685,35
72,0.2043812269685812,perceptual,IT,dcrandom,ReLu2,0.7190614824464179,36
73,0.05786783989337822,semantic,IT,dcrandom,ReLu2,0.20359274360409407,36
74,0.2231303678150732,perceptual,IT,dcrandom,ReLu2,0.8375866650650916,37
75,0.06432258259412554,semantic,IT,dcrandom,ReLu2,0.24145407893576748,37
