net,layer,instance,metric,comparison,t_stat,p_val,cohens_d,perceptual_mean,perceptual_std,semantic_mean,semantic_std,n
dctrained,ReLu2,6,aic,perceptual vs semantic,-303.77889395572805,0.0,-9.606332099868572,-4982.977971001733,100.3031063441012,-3687.3084144666523,94.60553027095696,1000
dctrained,ReLu2,7,r2,perceptual vs semantic,614.7925595702609,0.0,19.44144776766773,0.23219888722915147,0.011487992367239788,0.00414385435081286,0.0019940890472865958,1000
dctrained,ReLu2,7,aic,perceptual vs semantic,-255.42430940414675,0.0,-8.077225874926702,-5031.017890568708,94.76455410023739,-3955.1871291761922,94.58024222604621,1000
dctrained,ReLu2,8,r2,perceptual vs semantic,655.8779532379688,0.0,20.740681993213883,0.24837217046210658,0.011554803261212037,0.004743623027805368,0.0021241029953825126,1000
dctrained,ReLu2,8,aic,perceptual vs semantic,-299.3905218129682,0.0,-9.467559587953028,-4033.6646438000043,88.3661744618504,-2866.347735295297,90.31965488360468,1000
dctrained,ReLu2,9,r2,perceptual vs semantic,672.2387874679484,0.0,21.25805699908572,0.2605054868903991,0.011801425856713343,0.00437887995695585,0.0021118946056277216,1000
dctrained,ReLu2,9,aic,perceptual vs semantic,-296.9426689986159,0.0,-9.390151685250967,-5424.867518261947,97.22060813121749,-4185.0919773468395,90.97327498357136,1000
dctrained,ReLu2,10,r2,perceptual vs semantic,569.0402559115859,0.0,17.99463289005706,0.20795189802448094,0.011160587585995356,0.004045607144016982,0.0019333830999498868,1000
dctrained,ReLu2,10,aic,perceptual vs semantic,-217.46053443287911,0.0,-6.876705900053707,-3802.731504024592,97.6097119498925,-2853.7664349994134,92.79628903273685,1000
dctrained,ReLu7,1,r2,perceptual vs semantic,428.019058343907,0.0,13.535151063272435,0.2876859214707852,0.011740881265314857,0.08786689954945891,0.009153345355805151,1000
dctrained,ReLu7,1,aic,perceptual vs semantic,-283.1715733044902,0.0,-8.954671402555213,-3158.153095847904,83.07858829795966,-2135.9526839863643,79.35002829139492,1000
dctrained,ReLu7,2,r2,perceptual vs semantic,556.2640415638887,0.0,17.590613517924602,0.33370507110147335,0.011802950529385554,0.07566410398286899,0.00903527154615148,1000
dctrained,ReLu7,2,aic,perceptual vs semantic,-383.6495965592703,0.0,-12.132065485319918,-4162.540449739935,87.4838658065492,-2806.334712202978,74.8417305561497,1000
dctrained,ReLu7,3,r2,perceptual vs semantic,481.31290027187003,0.0,15.220450320805853,0.3010565988747273,0.012312046461088959,0.0748621883994673,0.008543112072895303,1000
dctrained,ReLu7,3,aic,perceptual vs semantic,-322.67832787728037,0.0,-10.203984676668123,-3641.585371594911,84.22083080461509,-2474.990754179116,82.85998387518298,1000
